Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,-1.1585119869912468,2.1862480962249378
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5824542973283356,1.0880434382351154
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.22362998653527721,1.3111627072892167
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5862086744535266,1.0831408020406637
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.26584697542264835,1.2750156282532286
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5902050035277829,1.0778977135775214
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-4.437244342344725,3.469857478950093
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-3.2162230902792164,3.457450858993233
Rg w/no norm,No regr out,All,1,GPR,80/20,-4.488862717088033,3.4862890854548976
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-3.349544977163588,3.5116897343155706
Rg w/no norm,No regr out,All,1,Linear,85/15,-0.731226984158156,2.028365105110974
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.5772549215322813,0.9946477301981012
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.23191061025699,1.351061153775536
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5813951803773912,0.9897650812231832
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.4129762280129149,1.181128009482835
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5862370084075391,0.9840243319886847
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,-4.157198333645269,3.500870458820525
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-4.509817370807844,3.5908611944425455
Rg w/no norm,No regr out,All,1,GPR,85/15,-4.177709122754641,3.5078252390906326
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-5.815896080360534,3.993847665659261
Rg w/no norm,No regr out,All,1,Linear,90/10,-1.305899263091495,1.8735663489797414
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5262474644538901,1.0329312372721176
Rg w/no norm,No regr out,All,1,Ridge,90/10,-0.023822602784484115,1.2484215845686428
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5323557590383099,1.0262506207157744
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.16813072223438008,1.1253210814761312
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.5321690415647564,1.0264554770821392
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-6.6096579549653205,3.4035448690225243
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-3.0849391293737893,3.0331118955739593
Rg w/no norm,No regr out,All,1,GPR,90/10,-6.713590643832099,3.426708847422458
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-3.204610130606426,3.077219698023031
Rg w/no norm,No regr out,All,2,Linear,80/20,-0.9172632288535219,2.060454759828655
Rg w/no norm,No regr out,Inliers,2,Linear,80/20,0.5874979475898028,1.0814520839461614
Rg w/no norm,No regr out,All,2,Ridge,80/20,0.27646853257232595,1.2657587080520822
Rg w/no norm,No regr out,Inliers,2,Ridge,80/20,0.5909834498335924,1.0768734400250233
Rg w/no norm,No regr out,All,2,Lasso,80/20,0.282551788609704,1.2604263985485669
Rg w/no norm,No regr out,Inliers,2,Lasso,80/20,0.5919465351463595,1.0756048700564658
Rg w/no norm,No regr out,All,2,Kernel Ridge,80/20,-4.5334480454068835,3.5004197877149665
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,80/20,-3.2135920078208136,3.456371900675951
Rg w/no norm,No regr out,All,2,GPR,80/20,-4.485398126469241,3.485188632438213
Rg w/no norm,No regr out,Inliers,2,GPR,80/20,-3.349521708904663,3.511680341262307
Rg w/no norm,No regr out,All,2,Linear,85/15,-0.7463321762855613,2.037194768363955
Rg w/no norm,No regr out,Inliers,2,Linear,85/15,0.5820216402843802,0.989024191167102
Rg w/no norm,No regr out,All,2,Ridge,85/15,0.4253443268319357,1.168619082016113
