Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.21335749645525315,2.0962250457850664
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5713728210904427,1.0750841529430737
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.3136137599311444,1.9580937707913082
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5703786954458538,1.0763301655517539
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.3893255468763819,1.8469454879724152
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5669206910495925,1.0806531529483157
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.16040074672396099,2.1656348086371873
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.6038361439051878,1.0335703267964607
Rg w/no norm,No regr out,All,1,GPR,80/20,0.08617574697777408,2.2593345389978583
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,0.6163734262407491,1.0170842962801845
Rg w/no norm,No regr out,All,1,Linear,85/15,-0.2202714334502216,1.4905788884747313
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.602589498224078,0.9617548169946243
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.2890279027504917,1.1377661845705658
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5951956596246184,0.9706603298337187
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.35331561822395974,1.0851079111286623
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.60569652352586,0.9579878555752345
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.15863806223649612,1.237707932022312
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.6270540507335245,0.9316818769827137
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.21908993085235662,1.489857102616289
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,0.5505465634169737,1.022791365946833
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.9209417976253336,1.3815372000203132
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5826821587764903,0.9821172233766449
Rg w/no norm,No regr out,All,1,Ridge,90/10,-0.12658560741934455,1.0580046575860065
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5660659219464561,1.0014787305892363
Rg w/no norm,No regr out,All,1,Lasso,90/10,-0.5055799729853592,1.2230871258742317
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.570663192262864,0.9961595726408391
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-0.07159849064041257,1.031861780731335
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.6013602662310552,0.9598870737664408
Rg w/no norm,No regr out,All,1,GPR,90/10,-1.2438446401391738,1.4931446144313405
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,0.6224284546782622,0.9341776656941428
Rg w/no norm,No regr out,All,2,Linear,80/20,0.2028845650873129,2.110132909702625
Rg w/no norm,No regr out,Inliers,2,Linear,80/20,0.5901677336527535,1.051249206990294
Rg w/no norm,No regr out,All,2,Ridge,80/20,0.3647661394525983,1.8837185794910927
Rg w/no norm,No regr out,Inliers,2,Ridge,80/20,0.5829245357911528,1.0604981818251726
Rg w/no norm,No regr out,All,2,Lasso,80/20,0.3712807707800684,1.874034462859623
Rg w/no norm,No regr out,Inliers,2,Lasso,80/20,0.5675530482797415,1.0798639112864357
Rg w/no norm,No regr out,All,2,Kernel Ridge,80/20,0.36400883053733546,1.8848411046272109
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,80/20,0.6084117228774164,1.0275842718002866
Rg w/no norm,No regr out,All,2,GPR,80/20,0.057704482723983985,2.2942606903581684
Rg w/no norm,No regr out,Inliers,2,GPR,80/20,0.5916025164275027,1.0494074331607994
Rg w/no norm,No regr out,All,2,Linear,85/15,-0.18308803003517138,1.4676931719700084
Rg w/no norm,No regr out,Inliers,2,Linear,85/15,0.6073458784370857,0.9559821444073264
Rg w/no norm,No regr out,All,2,Ridge,85/15,0.34190478323789675,1.0946394877668773
Rg w/no norm,No regr out,Inliers,2,Ridge,85/15,0.5994048264102303,0.9656006662859079
Rg w/no norm,No regr out,All,2,Lasso,85/15,0.39970481670986935,1.0454642171820474
Rg w/no norm,No regr out,Inliers,2,Lasso,85/15,0.6067720363519784,0.9566804466439527
Rg w/no norm,No regr out,All,2,Kernel Ridge,85/15,0.18900991420566438,1.2151629405362763
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,85/15,0.6291111996235035,0.9291087713714765
Rg w/no norm,No regr out,All,2,GPR,85/15,-0.3799787057585515,1.5851228849533991
Rg w/no norm,No regr out,Inliers,2,GPR,85/15,0.5452681428194008,1.0287797111284318
Rg w/no norm,No regr out,All,2,Linear,90/10,-0.8090605405683289,1.3407013005614643
Rg w/no norm,No regr out,Inliers,2,Linear,90/10,0.5867749173796781,0.9772894012528597
Rg w/no norm,No regr out,All,2,Ridge,90/10,-0.05299944313925198,1.0228679032106909
Rg w/no norm,No regr out,Inliers,2,Ridge,90/10,0.5684403238464208,0.9987350248984217
Rg w/no norm,No regr out,All,2,Lasso,90/10,0.14316015937648108,0.9226889213898152
Rg w/no norm,No regr out,Inliers,2,Lasso,90/10,0.5706612314646833,0.9961618473883246
Rg w/no norm,No regr out,All,2,Kernel Ridge,90/10,-0.03827098174531174,1.0156892089356537
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,90/10,0.6008638301555493,0.9604845735480696
Rg w/no norm,No regr out,All,2,GPR,90/10,-1.2243096968352698,1.4866307368519103
Rg w/no norm,No regr out,Inliers,2,GPR,90/10,0.5342697120965105,1.0375214697329116
Rg w/no norm,No regr out,All,1,Linear,80/20,0.21335749645525315,2.0962250457850664
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5713728210904427,1.0750841529430737
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.3136137599311444,1.9580937707913082
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5703786954458538,1.0763301655517539
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.3893255468763819,1.8469454879724152
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5669206910495925,1.0806531529483157
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,0.16040074672396099,2.1656348086371873
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,0.6038361439051878,1.0335703267964607
Rg w/no norm,No regr out,All,1,GPR,80/20,0.08991035647760692,2.2547130974682776
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,0.6163677297144559,1.0170918476678155
Rg w/no norm,No regr out,All,1,Linear,85/15,-0.2202714334502216,1.4905788884747313
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.602589498224078,0.9617548169946243
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.2890279027504917,1.1377661845705658
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5951956596246184,0.9706603298337187
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.35331561822395974,1.0851079111286623
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.60569652352586,0.9579878555752345
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.15863806223649612,1.237707932022312
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,0.6270540507335245,0.9316818769827137
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.22018443436723745,1.4905257522198367
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,0.5505465634169737,1.022791365946833
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.9209417976253336,1.3815372000203132
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.5826821587764903,0.9821172233766449
Rg w/no norm,No regr out,All,1,Ridge,90/10,-0.12658560741934455,1.0580046575860065
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.5660659219464561,1.0014787305892363
Rg w/no norm,No regr out,All,1,Lasso,90/10,-0.5055799729853592,1.2230871258742317
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.570663192262864,0.9961595726408391
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-0.07159849064041257,1.031861780731335
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,0.6013602662310552,0.9598870737664408
Rg w/no norm,No regr out,All,1,GPR,90/10,-1.2438446401391738,1.4931446144313405
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,0.622428464348098,0.9341776537317152
Rg norm w/0.427,No regr out,All,1,Linear,80/20,-1.3104099723263771,0.19489595394884193
Rg norm w/0.427,No regr out,Inliers,1,Linear,80/20,0.3076809237042877,0.09481567717871837
Rg norm w/0.427,No regr out,All,1,Ridge,80/20,-0.014891982000629245,0.12917194790009204
