Normlaization,Regressing out,Points,Feature Selection,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,1,Linear,80/20,0.405169318746867,2.049120037388457
Rg w/no norm,No regr out,Inliers,1,Linear,80/20,0.5145755317081474,0.7988022080147726
Rg w/no norm,No regr out,All,1,Ridge,80/20,0.3266826589826547,2.1801211056736367
Rg w/no norm,No regr out,Inliers,1,Ridge,80/20,0.5515540177495755,0.7677741636074725
Rg w/no norm,No regr out,All,1,Lasso,80/20,0.25632673517306115,2.29119368636036
Rg w/no norm,No regr out,Inliers,1,Lasso,80/20,0.5936223813262198,0.7308753509903451
Rg w/no norm,No regr out,All,1,Kernel Ridge,80/20,-0.005128721119224577,2.6636770013359157
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,80/20,-6.105580788242258,3.0561749779445093
Rg w/no norm,No regr out,All,1,GPR,80/20,-0.6106623354783456,3.371886682060608
Rg w/no norm,No regr out,Inliers,1,GPR,80/20,-5.74045528466481,2.9766175695512276
Rg w/no norm,No regr out,All,1,Linear,85/15,0.4093626747910395,2.225253653528904
Rg w/no norm,No regr out,Inliers,1,Linear,85/15,0.4182354757300045,0.8538868274801107
Rg w/no norm,No regr out,All,1,Ridge,85/15,0.2819915963926187,2.453487456975537
Rg w/no norm,No regr out,Inliers,1,Ridge,85/15,0.5268947385874264,0.7700263477796953
Rg w/no norm,No regr out,All,1,Lasso,85/15,0.1983099675823835,2.592521223555637
Rg w/no norm,No regr out,Inliers,1,Lasso,85/15,0.5017339694755507,0.7902369572837654
Rg w/no norm,No regr out,All,1,Kernel Ridge,85/15,0.3076423126274098,2.4092637028275954
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,85/15,-6.08770505293489,2.9804340400693077
Rg w/no norm,No regr out,All,1,GPR,85/15,-0.4430282645881387,3.478215589470193
Rg w/no norm,No regr out,Inliers,1,GPR,85/15,-5.765020181387788,2.911798009968858
Rg w/no norm,No regr out,All,1,Linear,90/10,-0.4874824077737334,1.521803687222374
Rg w/no norm,No regr out,Inliers,1,Linear,90/10,0.27774639219706454,0.8859139265399085
Rg w/no norm,No regr out,All,1,Ridge,90/10,0.23017501000003038,1.094784690244716
Rg w/no norm,No regr out,Inliers,1,Ridge,90/10,0.36819927709395595,0.8285843535872041
Rg w/no norm,No regr out,All,1,Lasso,90/10,0.13789659501015705,1.1585436286658168
Rg w/no norm,No regr out,Inliers,1,Lasso,90/10,0.40006474638867007,0.8074188055212922
Rg w/no norm,No regr out,All,1,Kernel Ridge,90/10,-1.696578319106547,2.0489871377609563
Rg w/no norm,No regr out,Inliers,1,Kernel Ridge,90/10,-5.373843676417817,2.6317666112390015
Rg w/no norm,No regr out,All,1,GPR,90/10,-5.001812631516418,3.05684860087546
Rg w/no norm,No regr out,Inliers,1,GPR,90/10,-5.0148714839730735,2.556582696031772
Rg w/no norm,No regr out,All,2,Linear,80/20,0.4113734486355941,2.0384057865162943
Rg w/no norm,No regr out,Inliers,2,Linear,80/20,0.5244800666302063,0.7906108831243666
Rg w/no norm,No regr out,All,2,Ridge,80/20,0.2800227891878544,2.2543954254805936
Rg w/no norm,No regr out,Inliers,2,Ridge,80/20,0.5619085229676923,0.7588585417777307
Rg w/no norm,No regr out,All,2,Lasso,80/20,0.2249812403078323,2.338981716188616
Rg w/no norm,No regr out,Inliers,2,Lasso,80/20,0.5813024397944506,0.7418714190078728
Rg w/no norm,No regr out,All,2,Kernel Ridge,80/20,-0.3158650364445985,3.0477293210322665
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,80/20,-6.082305620125981,3.051165441409204
Rg w/no norm,No regr out,All,2,GPR,80/20,-0.6197070299514364,3.3813408640227784
Rg w/no norm,No regr out,Inliers,2,GPR,80/20,-6.066680203392702,3.04779774877976
Rg w/no norm,No regr out,All,2,Linear,85/15,0.4068617984629458,2.2299597612097815
Rg w/no norm,No regr out,Inliers,2,Linear,85/15,0.4349096255898314,0.8415610978106148
Rg w/no norm,No regr out,All,2,Ridge,85/15,0.23095460405361912,2.5391892261051554
Rg w/no norm,No regr out,Inliers,2,Ridge,85/15,0.5626424388689164,0.7403635278424496
Rg w/no norm,No regr out,All,2,Lasso,85/15,0.2292096967566809,2.542068210541543
Rg w/no norm,No regr out,Inliers,2,Lasso,85/15,0.5189508281955681,0.7764641919788351
Rg w/no norm,No regr out,All,2,Kernel Ridge,85/15,-0.1258070856891511,3.0722111944461243
Rg w/no norm,No regr out,Inliers,2,Kernel Ridge,85/15,-6.08317601611425,2.97948164063403
Rg w/no norm,No regr out,All,2,GPR,85/15,-0.4430282657452065,3.4782155908646675
Rg w/no norm,No regr out,Inliers,2,GPR,85/15,-9.750146905218863,3.6705732575990195
Rg w/no norm,No regr out,All,2,Linear,90/10,-0.585917143970258,1.5713501087753294
Rg w/no norm,No regr out,Inliers,2,Linear,90/10,0.3193550659276253,0.8600168833062216
Rg w/no norm,No regr out,All,2,Ridge,90/10,0.2274028372332565,1.0967541021378422
Rg w/no norm,No regr out,Inliers,2,Ridge,90/10,0.41027277639856263,0.8005201299060372
Rg w/no norm,No regr out,All,2,Lasso,90/10,0.3153061750618511,1.0324782663531384
Rg w/no norm,No regr out,Inliers,2,Lasso,90/10,0.4418080260216031,0.7788224515957003
