Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,167,Linear,80/20,-1.169546287352313,2.4806671374256473
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Linear,80/20,0.44156196500254064,1.073630664610325
Rg w/no norm,No regr out,All,ESM-6,0,167,Ridge,80/20,0.32641739653499147,1.3822272935952378
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Ridge,80/20,0.5803943821648493,0.930653594440539
Rg w/no norm,No regr out,All,ESM-6,0,167,Lasso,80/20,0.2022148697080941,1.5042741826838002
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Lasso,80/20,0.653276493687057,0.845977972310489
Rg w/no norm,No regr out,All,ESM-6,0,167,Kernel Ridge,80/20,0.3474934044055318,1.3604308954332183
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Kernel Ridge,80/20,0.6792153952993392,0.8137184639469713
Rg w/no norm,No regr out,All,ESM-6,0,167,GPR,80/20,0.0002040824356720483,1.6839907932852376
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,GPR,80/20,0.1556009887929698,1.3202046864123558
Rg w/no norm,No regr out,All,ESM-6,0,167,Linear,85/15,-1.3817073050428106,2.6990989982520075
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Linear,85/15,0.3523758415481787,1.0924202944131862
Rg w/no norm,No regr out,All,ESM-6,0,167,Ridge,85/15,0.0029214964685961853,1.7463822003375353
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Ridge,85/15,0.6981768719498289,0.745769292469552
Rg w/no norm,No regr out,All,ESM-6,0,167,Lasso,85/15,-0.13028090518532287,1.859378543372307
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Lasso,85/15,0.6504618915298397,0.8025562939925655
Rg w/no norm,No regr out,All,ESM-6,0,167,Kernel Ridge,85/15,0.24566790272876082,1.518993493003144
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Kernel Ridge,85/15,0.6699115761530654,0.7799080196548878
Rg w/no norm,No regr out,All,ESM-6,0,167,GPR,85/15,-0.12732153879012187,1.8569427821074675
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,GPR,85/15,0.04422986140093188,1.3271040299182044
Rg w/no norm,No regr out,All,ESM-6,0,167,Linear,90/10,-1.3307774704699882,2.940981574288541
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Linear,90/10,0.24836926935728354,1.2210750651810653
Rg w/no norm,No regr out,All,ESM-6,0,167,Ridge,90/10,0.2911350276351651,1.6218984405610637
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Ridge,90/10,0.63822966688668,0.8471427018451195
Rg w/no norm,No regr out,All,ESM-6,0,167,Lasso,90/10,0.18632335762353947,1.7376720771264196
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Lasso,90/10,0.6066072104333173,0.8833916636681902
Rg w/no norm,No regr out,All,ESM-6,0,167,Kernel Ridge,90/10,0.26952425334995334,1.6464357907144416
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,Kernel Ridge,90/10,0.6197820564532301,0.8684731638784258
Rg w/no norm,No regr out,All,ESM-6,0,167,GPR,90/10,0.19529974331968214,1.7280605977187071
Rg w/no norm,No regr out,Inliers,ESM-6,0,167,GPR,90/10,0.10047021876940432,1.335819786398601
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,80/20,-26.29952143497499,8.799572021297275
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,-3.0961769675350794,2.9077480131138564
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,80/20,0.32641739653499013,1.382227293595239
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.5803943821648498,0.9306535944405385
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,80/20,0.2022148697080941,1.5042741826838002
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.653276493687057,0.845977972310489
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,80/20,0.347493404405557,1.3604308954331918
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.6792153952993245,0.81371846394699
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,80/20,0.00020409495697737423,1.683990782740204
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,0.1556009202966413,1.3202047399588255
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,85/15,-12.330832837911363,6.385622798053391
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,-2.3729556705162915,2.4930647369209287
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,85/15,0.0029214964685286837,1.7463822003375944
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.698176871949814,0.7457692924695702
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,85/15,-0.13028090518532287,1.859378543372307
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.6504618915298397,0.8025562939925655
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,85/15,0.2456679027287315,1.5189934930031734
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.6699115761530701,0.7799080196548822
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,85/15,-0.12732153119788236,1.8569427758544363
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,0.044229859741081734,1.3271040310705704
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-11.269221445195466,6.747616637032932
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-1.7335703139975607,2.32865539051562
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,0.29113502763516086,1.6218984405610686
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.6382296668866608,0.8471427018451421
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,90/10,0.18632335762353947,1.7376720771264196
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.6066072104333173,0.8833916636681902
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,90/10,0.2695242533499662,1.6464357907144271
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.6197820564532053,0.8684731638784542
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,90/10,0.1952989609784056,1.7280614377413082
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,0.10047022063669642,1.3358197850121178
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-5.1986756601349535,4.193083295163274
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,0.19743805079024002,1.287083416508131
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,0.3264173965349919,1.382227293595237
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,0.5803943821648541,0.9306535944405339
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,0.2022148697080941,1.5042741826838002
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,0.653276493687057,0.845977972310489
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,0.3474934044055553,1.3604308954331936
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,0.6792153952993346,0.8137184639469772
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,0.00020408565621132801,1.6839907905730047
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,0.15560094209847164,1.3202047229154152
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,-3.8670448785066807,3.85840041016856
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,-0.06669481566037772,1.4020010256097422
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,0.002921496468515139,1.7463822003376064
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.6981768719498276,0.7457692924695536
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,-0.13028090518532287,1.859378543372307
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.6504618915298397,0.8025562939925655
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,0.2456679027287041,1.518993493003201
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.6699115761530642,0.7799080196548891
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,-0.12732140637332146,1.8569426730478868
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,0.04422983935148894,1.3271040452262284
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-3.57502232277219,4.120391727463553
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,-0.027456470166868918,1.4276502132176845
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,0.2911350276351623,1.6218984405610668
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.6382296668866738,0.8471427018451269
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,0.18632335762353947,1.7376720771264196
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.6066072104333173,0.8833916636681902
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,0.2695242533499339,1.6464357907144636
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.6197820564532213,0.868473163878436
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,0.19529979547198473,1.7280605417212471
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,0.10047013364901225,1.3358198496013451
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,-0.4761247214043889,2.046188125744113
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.6885347195184277,0.8018114119176056
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,0.3264144543528231,1.3822303123490134
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.5803933713301264,0.93065471541743
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,0.2022148697080941,1.5042741826838002
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.653276493687057,0.845977972310489
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,0.34745188034181784,1.3604741821377941
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.6792109596564252,0.8137240897656807
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,4.9807113768896016e-05,1.6841207138999181
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,0.15524396975092547,1.3204837537698932
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,-0.7143548598653189,2.2899446285566234
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.6551395657519767,0.7971681241556032
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,0.002919495981019149,1.746383952262851
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.6982363262208737,0.7456958366120143
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,-0.13028090518532287,1.859378543372307
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.6504618915298397,0.8025562939925655
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,0.24560800923354975,1.5190537953712941
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.6699078873734425,0.7799123774277833
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,-0.12750527495930797,1.8570941025783747
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,0.04389889157389981,1.3273337888085273
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,-0.0427875570760905,1.9671606028648452
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.55394118704784,0.940667546710609
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,0.2911166351557243,1.6219194816206368
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.6382875839504121,0.8470748881284793
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,0.18632335762353947,1.7376720771264196
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.6066072104333173,0.8833916636681902
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,0.26946448857945193,1.6465031419201832
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.6197791529722747,0.8684764798588004
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,0.19522872579006623,1.7281368496436356
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,0.10016181286008774,1.3360487612579826
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,0.3347964221702724,1.3736032871870465
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.5426578672850595,0.9716011459445558
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.2856154658923413,1.4234756915404532
