Normlaization,Regressing out,Points,ESM Mode,Layer,Principal Components,Regression Type,Test Split,Test R2 Score,RMSE Score
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,80/20,-0.09223034389960683,2.7766928269246867
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,80/20,0.11576097219099213,1.0781104723464632
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,80/20,0.2305232259625567,2.3306039451031575
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,80/20,0.5402826709548306,0.7773629937481968
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,80/20,0.17846893726918012,2.4081454478784488
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,80/20,0.5381501449845072,0.7791639142647757
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,80/20,0.42839349064462207,2.0087195314759714
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,80/20,0.5606219536376498,0.7599720174102832
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,80/20,0.5515637823232096,1.7791848011221052
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,80/20,-9.173602056277415,3.6569228479832145
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,85/15,-0.06346519988361865,2.9859375468533096
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,85/15,0.033034081597333564,1.1008604776321904
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,85/15,0.2817258305199941,2.4539414857199153
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,85/15,0.45922841643147927,0.8232535796045137
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,85/15,0.18888131235542616,2.607721947077595
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,85/15,0.4552712623064691,0.8262602125208446
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,85/15,0.3945999311305116,2.2528916814620197
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,85/15,0.524655165331611,0.771846761213403
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,85/15,0.6420327708300528,1.7323702360357938
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,85/15,-9.750152857470187,3.6705742737791565
Rg w/no norm,No regr out,All,ESM-6,0,190,Linear,90/10,-7.0066110670949815,3.5306696085437257
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Linear,90/10,-0.18751230745398084,1.1359670348520383
Rg w/no norm,No regr out,All,ESM-6,0,190,Ridge,90/10,-0.21995862066737337,1.378177841840878
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Ridge,90/10,0.32059127987823455,0.859235530213775
Rg w/no norm,No regr out,All,ESM-6,0,190,Lasso,90/10,-0.4105761114224922,1.481941210653778
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Lasso,90/10,0.36120467392518973,0.833158316577618
Rg w/no norm,No regr out,All,ESM-6,0,190,Kernel Ridge,90/10,0.12723251002819436,1.1656871078427102
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,Kernel Ridge,90/10,0.4675961702171888,0.7606191481174435
Rg w/no norm,No regr out,All,ESM-6,0,190,GPR,90/10,0.39190763102596693,0.9730104167093777
Rg w/no norm,No regr out,Inliers,ESM-6,0,190,GPR,90/10,-10.008454911537733,3.458675781412268
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,80/20,-5.752218170480405,6.903891422778314
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,80/20,-3.6115653688925136,2.462082546271149
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,80/20,0.2305232259625738,2.3306039451031317
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,80/20,0.5402826709548268,0.7773629937482001
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,80/20,0.17846893726918012,2.4081454478784488
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,80/20,0.5381501449845072,0.7791639142647757
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,80/20,0.42839349064465937,2.0087195314759057
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,80/20,0.5606219536376605,0.759972017410274
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,80/20,-0.6197075863595016,3.381341444808418
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,80/20,-9.17360195009795,3.6569228288999973
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,85/15,-3.0746440640700925,5.844722781367872
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,85/15,-2.485977199486718,2.0902054112643107
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,85/15,0.28172583052001376,2.4539414857198816
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,85/15,0.45922841643148304,0.8232535796045108
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,85/15,0.18888131235542616,2.607721947077595
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,85/15,0.4552712623064691,0.8262602125208446
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,85/15,0.3945999311305477,2.2528916814619526
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,85/15,0.5246551653316152,0.7718467612133997
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,85/15,-0.4430288787367127,3.4782163296292636
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,85/15,-9.75015271086488,3.6705742487504116
Rg w/no norm,No regr out,All,ESM-6,0,100,Linear,90/10,-21.64297860497752,5.937443515368701
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Linear,90/10,-2.880147092680567,2.0533867896112503
Rg w/no norm,No regr out,All,ESM-6,0,100,Ridge,90/10,-0.21995862066736405,1.378177841840873
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Ridge,90/10,0.3205912798782341,0.8592355302137752
Rg w/no norm,No regr out,All,ESM-6,0,100,Lasso,90/10,-0.4105761114224922,1.481941210653778
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Lasso,90/10,0.36120467392518973,0.833158316577618
Rg w/no norm,No regr out,All,ESM-6,0,100,Kernel Ridge,90/10,0.12723251002821212,1.1656871078426982
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,Kernel Ridge,90/10,0.4675961702172099,0.7606191481174284
Rg w/no norm,No regr out,All,ESM-6,0,100,GPR,90/10,-5.00181764201488,3.0568498768509826
Rg w/no norm,No regr out,Inliers,ESM-6,0,100,GPR,90/10,-10.0084549102181,3.4586757812049647
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,80/20,-0.7385810014494718,3.5032262324688848
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,80/20,-0.056845685536830226,1.1786482460389998
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,80/20,0.2305232259625637,2.330603945103147
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,80/20,0.540282670954812,0.7773629937482126
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,80/20,0.17846893726918012,2.4081454478784488
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,80/20,0.5381501449845072,0.7791639142647757
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,80/20,0.42839349064464594,2.008719531475929
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,80/20,0.5606219536376558,0.759972017410278
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,80/20,-0.6197076048608645,3.381341464120368
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,80/20,-9.173601619576585,3.6569227694966937
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,85/15,0.2669368209391585,2.479075660003399
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,85/15,-0.17323087104129264,1.2126024395212747
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,85/15,0.2817258305200031,2.4539414857199
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,85/15,0.4592284164314565,0.823253579604531
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,85/15,0.18888131235542616,2.607721947077595
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,85/15,0.4552712623064691,0.8262602125208446
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,85/15,0.39459993113053327,2.2528916814619797
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,85/15,0.5246551653315777,0.7718467612134301
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,85/15,-0.4430289007021422,3.4782163561015382
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,85/15,-9.750152253076756,3.6705741705959256
Rg w/no norm,No regr out,All,ESM-6,0,50,Linear,90/10,-2.6345046564005643,2.378785747618856
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Linear,90/10,-0.2447066787416834,1.1630012427593304
Rg w/no norm,No regr out,All,ESM-6,0,50,Ridge,90/10,-0.2199586206673687,1.3781778418408757
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Ridge,90/10,0.32059127987819835,0.8592355302137978
Rg w/no norm,No regr out,All,ESM-6,0,50,Lasso,90/10,-0.4105761114224922,1.481941210653778
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Lasso,90/10,0.36120467392518973,0.833158316577618
Rg w/no norm,No regr out,All,ESM-6,0,50,Kernel Ridge,90/10,0.12723251002819957,1.1656871078427067
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,Kernel Ridge,90/10,0.4675961702171597,0.7606191481174642
Rg w/no norm,No regr out,All,ESM-6,0,50,GPR,90/10,-5.001817363135556,3.0568498058314777
Rg w/no norm,No regr out,Inliers,ESM-6,0,50,GPR,90/10,-10.008454909732404,3.458675781128666
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,80/20,0.3993507495397137,2.059117782649209
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,80/20,0.43199866906417084,0.864078305785168
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,80/20,0.23052517902687109,2.330600987364576
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,80/20,0.540254879284638,0.7773864906756267
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,80/20,0.17846893726918012,2.4081454478784488
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,80/20,0.5381501449845072,0.7791639142647757
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,80/20,0.42839900795243413,2.008709837087852
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,80/20,0.5606158245899204,0.7599773179579126
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,80/20,0.3841747519773545,2.0849683402115113
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,80/20,-9.173598413621704,3.6569221933029934
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,85/15,0.4831037085047968,2.0817126752874944
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,85/15,0.3284956584903086,0.9173838894988091
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,85/15,0.2817226740573364,2.453946877648571
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,85/15,0.4591963600004898,0.8232779800919586
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,85/15,0.18888131235542616,2.607721947077595
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,85/15,0.4552712623064691,0.8262602125208446
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,85/15,0.3945962581314879,2.252898515667053
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,85/15,0.5246400363414213,0.771859044053474
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,85/15,0.513374917039144,2.019837001556253
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,85/15,-9.75014782225626,3.670573414157479
Rg w/no norm,No regr out,All,ESM-6,0,20,Linear,90/10,0.13997868500425126,1.1571437674180176
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Linear,90/10,0.04364547211234204,1.0194269910239437
Rg w/no norm,No regr out,All,ESM-6,0,20,Ridge,90/10,-0.21996013826326433,1.3781786990487965
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Ridge,90/10,0.32051914511911606,0.8592811427449962
Rg w/no norm,No regr out,All,ESM-6,0,20,Lasso,90/10,-0.4105761114224922,1.481941210653778
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Lasso,90/10,0.36120467392518973,0.833158316577618
Rg w/no norm,No regr out,All,ESM-6,0,20,Kernel Ridge,90/10,0.12719676751442266,1.165710976834979
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,Kernel Ridge,90/10,0.46784441946087174,0.7604417967030369
Rg w/no norm,No regr out,All,ESM-6,0,20,GPR,90/10,0.5523173647576669,0.8348680432309485
Rg w/no norm,No regr out,Inliers,ESM-6,0,20,GPR,90/10,-10.008454908747867,3.458675780974003
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,80/20,0.021609676290431423,2.6280086715268474
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,80/20,0.4141275269935134,0.8775663692513513
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,80/20,0.03346342452309925,2.6120402570899097
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,80/20,0.42646643968985143,0.86827609169231
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,80/20,0.034194420511728385,2.611052321322467
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,80/20,0.4033687064216216,0.8855874210206207
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,80/20,0.43118087917079484,2.0038158746482932
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,80/20,0.43157150707963954,0.8644031571673301
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,80/20,0.2687586987055156,2.2719620661523003
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,80/20,-9.173597896973007,3.65692210044774
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,85/15,0.09490137004826615,2.754653843915236
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,85/15,0.3405212872093437,0.9091322991597383
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,85/15,0.08382770462119193,2.7714538797508412
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,85/15,0.33455164708340357,0.9132377888490532
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,85/15,0.047565128264608236,2.825769429442033
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,85/15,0.29322707624880573,0.9411669072297898
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,85/15,0.14146578690315148,2.682859205409483
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,85/15,0.17507257065936688,1.0167977319679282
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,85/15,0.4039040453642013,2.2355128248074707
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,85/15,-9.750147107139671,3.6705732920713445
Rg w/no norm,No regr out,All,ESM-6,0,10,Linear,90/10,-0.44766011813455653,1.5012949302816725
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Linear,90/10,0.23865875415845494,0.909570461494233
Rg w/no norm,No regr out,All,ESM-6,0,10,Ridge,90/10,-0.6655323101423929,1.6103090883725188
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Ridge,90/10,0.2447368255348248,0.9059324658054719
Rg w/no norm,No regr out,All,ESM-6,0,10,Lasso,90/10,-0.4849213684357536,1.5204930572284394
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Lasso,90/10,0.19971168331656153,0.9325452348165375
Rg w/no norm,No regr out,All,ESM-6,0,10,Kernel Ridge,90/10,0.4806947259508523,0.8991747019480878
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,Kernel Ridge,90/10,0.05145817277617237,1.0152544742249312
Rg w/no norm,No regr out,All,ESM-6,0,10,GPR,90/10,0.43637749915802493,0.9367568429884742
Rg w/no norm,No regr out,Inliers,ESM-6,0,10,GPR,90/10,-10.008454908746584,3.458675780973802
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,80/20,-774534539.8595049,73941.9865951857
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,80/20,-3247785493.200814,65338.941377006035
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,80/20,0.6971130532652103,1.4622142032967511
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,80/20,0.7039183471435774,0.6238557368526251
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,80/20,0.6522686461828704,1.5667245372084675
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,80/20,0.6713058535223726,0.6573163120036023
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,80/20,0.5896409347353796,1.7019732713466484
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,80/20,0.6468982449140439,0.6812842719419518
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,80/20,0.5869404376625478,1.7075642736691998
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,80/20,-9.173603644571065,3.656923133440965
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,85/15,-410358228.9615208,58654.40753474555
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,85/15,-3680668342.80266,67918.80555058747
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,85/15,0.48217922625146026,2.0835734418647607
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,85/15,0.6042372322368175,0.7042780675696569
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,85/15,0.33686154055506967,2.3578772188723476
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,85/15,0.6035747749484035,0.7048672577384358
Rg w/no norm,No regr out,All,ESM-6,1,190,Kernel Ridge,85/15,0.6195404214155498,1.7859666286226783
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Kernel Ridge,85/15,0.6134056179634124,0.6960724834311692
Rg w/no norm,No regr out,All,ESM-6,1,190,GPR,85/15,0.6845449384227213,1.6262519432724372
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,GPR,85/15,-9.750155069722975,3.670574651459263
Rg w/no norm,No regr out,All,ESM-6,1,190,Linear,90/10,-5118673781.870162,89271.2136802398
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Linear,90/10,-3072189695.5155745,57779.08806347827
Rg w/no norm,No regr out,All,ESM-6,1,190,Ridge,90/10,0.5412462480331265,0.8451280719900611
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Ridge,90/10,0.663147628437165,0.6050154616360319
Rg w/no norm,No regr out,All,ESM-6,1,190,Lasso,90/10,0.5292498302478585,0.8561068177273359
Rg w/no norm,No regr out,Inliers,ESM-6,1,190,Lasso,90/10,0.5475775998095471,0.701162560954439
